task,id,trial,payoff_sure,payoff_risky,prob,choice,rt,pos
gamble,1,1,500,800,0.5,sure,2.618910462000258,rs
gamble,1,2,500,1770,0.5,risky,1.8448409659999925,rs
gamble,1,3,500,920,0.4,sure,2.5887963420000233,sr
gamble,1,4,500,830,0.4,sure,3.096454705999804,rs
gamble,1,5,500,1060,0.4,sure,5.374221528999897,rs
gamble,1,6,500,1000,0.5,risky,2.1699246230000426,sr
gamble,1,7,500,1380,0.4,risky,3.1421046240002397,rs
gamble,1,8,500,730,0.5,sure,1.7547881189998407,rs
gamble,1,9,500,5650,0.3,risky,2.2462074029999712,rs
gamble,1,10,500,1220,0.3,sure,2.8788322410000546,sr
gamble,1,11,500,7290,0.3,risky,1.77407650799978,rs
gamble,1,12,500,1150,0.4,sure,3.049055345999932,rs
gamble,1,13,500,1120,0.3,sure,2.0654837949996363,sr
gamble,1,14,500,1040,0.3,sure,1.6012974149998627,sr
gamble,1,15,500,940,0.5,sure,1.9873825370000304,sr
gamble,1,16,500,1890,0.3,risky,3.318559040999844,rs
gamble,1,17,500,840,0.5,sure,1.331962207000288,rs
gamble,1,18,500,1670,0.3,risky,3.585661894000168,rs
gamble,1,19,500,2340,0.5,risky,2.2124472259997674,rs
gamble,1,20,500,3160,0.4,risky,2.814310480000131,rs
gamble,1,21,500,970,0.3,risky,3.5196007189997545,sr
gamble,1,22,500,760,0.5,sure,2.1345498620003127,rs
gamble,1,23,500,1720,0.4,risky,2.3230241279998154,sr
gamble,1,24,500,1080,0.5,risky,1.6408458050000263,sr
gamble,1,25,500,700,1.0,risky,1.882132160999845,rs
gamble,1,26,500,1340,0.3,sure,4.944978259999971,sr
gamble,1,27,500,2020,0.5,risky,1.5486094170000797,sr
gamble,1,28,500,2650,0.4,risky,1.265472311999929,rs
gamble,1,29,500,2260,0.4,risky,1.328781657000036,rs
gamble,1,30,500,1960,0.4,risky,1.165106181000283,sr
gamble,1,31,500,880,0.5,sure,1.7138981180000883,sr
gamble,1,32,500,1530,0.4,risky,1.6626680530002886,sr
gamble,1,33,500,2180,0.3,risky,1.5182382309999412,rs
gamble,1,34,500,1490,0.3,sure,2.579752116000236,sr
gamble,1,35,500,3840,0.4,risky,1.8390318720003052,rs
gamble,1,36,500,1170,0.5,risky,1.8477280870001778,sr
gamble,1,37,500,4480,0.3,risky,1.1361414410002908,rs
gamble,1,38,500,1410,0.5,risky,1.7977546370002528,sr
gamble,1,39,500,990,0.4,sure,3.311912494000353,rs
gamble,1,40,500,300,1.0,sure,1.6139190240000971,rs
gamble,1,41,500,2540,0.3,risky,1.2785236009999608,rs
gamble,1,42,500,1570,0.5,risky,1.5499235880001834,sr
gamble,1,43,500,3640,0.3,risky,1.5545295810002244,sr
gamble,1,44,500,870,0.4,sure,1.9100550799998928,rs
gamble,1,45,500,3010,0.3,risky,1.4353212080000048,rs
gamble,1,46,500,1250,0.4,risky,2.9971320199997535,sr
gamble,1,47,500,1270,0.5,risky,1.50279155599992,sr
